id,réf,nomducostume,epoque,epoque2,sexe,couleur_dominante,couleurs_autres,type,voile,quantite,lieu,bijoux
219,COI219,Coiffe fourrure marron avec bouton devant ,,,,marron,,,non,1,BCD1,sans_bijoux
220,COI220,Coiffe femme blanche avec élastique et bouton et décoration sur le coté,,,,blanc,,,non,1,BCD1,sans_bijoux
221,COI221,Chapeau femme bleu marine avec ruban bleu foncé,,,,bleu,,,non,1,BCD1,sans_bijoux
222,COI222,Coiffe à trou noir ,,,,noir,,,non,1,BCD1,sans_bijoux
223,COI223,Chapeau femme fourrure noir ,,,,noir,,,non,1,BCD1,sans_bijoux
224,COI224,Coiffe de chasse homme marron type beret avec élastique ,,,,marron,,,non,1,BCD1,sans_bijoux
225,COI225,Coiffe homme type russe vert kaki,,,,vert,,,non,1,BCD1,sans_bijoux
226,COI226,Casquette homme noir avec élastique,,,,noir,,,non,1,BCD1,sans_bijoux
227,COI227,Chapeau femme fin noir et petit,,,,noir,,,non,1,BCD1,sans_bijoux
228,COI228,Chapeau femme bleu élavé avec ruban bleu clair ,,,,bleu,,,non,1,BCD1,sans_bijoux
229,COI229,Chapeau noir bords remontés ,,,,noir,,,non,1,BCD1,sans_bijoux
230,COI230,Chapeau noir bord remontés élastique cassé,,,,noir,,,non,1,BCD1,sans_bijoux
231,COI231,Animal mort marron,,,,marron,,,non,1,BCD1,sans_bijoux
232,COI232,Chapeau femme rond en laine marron ,,,,marron,,,non,1,BCD1,sans_bijoux
233,COI233,Beret femme noir ,,,,noir,,,non,1,BCD1,sans_bijoux
